2022/4/11 0:00:00 .dat file Monthly Record Subbasin  7in ARCGIS-swat2009  interface




 MONTH YEAR          FLOCNST          SEDCNST         ORGNCNST         ORGPCNST          NO3CNST          NH3CNST          NO2CNST         MINPCNST         CBODCNST        DISOXCNST         CHLACNST       SOLPSTCNST       SRBPSTCNST        BACTPCNST       BACTLPCNST        CMTL1CNST        CMTL2CNST        CMTL3CNST
    11 1994 5.4533333333E+05 0.0000000000E+00 2.7266670000E+01 0.0000000000E+00 1.6360000000E+02 8.1800000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    12 1994 4.7451612903E+05 0.0000000000E+00 2.3725810000E+01 0.0000000000E+00 1.4235484000E+02 7.1177420000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     1 1995 7.3548387097E+05 0.0000000000E+00 3.6774190000E+01 0.0000000000E+00 2.2064516000E+02 1.1032258000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     2 1995 5.0214285714E+05 0.0000000000E+00 2.5107140000E+01 0.0000000000E+00 1.5064286000E+02 7.5321430000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     3 1995 1.0335483871E+06 0.0000000000E+00 5.1677420000E+01 0.0000000000E+00 3.1006452000E+02 1.5503226000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     4 1995 8.7666666667E+05 0.0000000000E+00 4.3833330000E+01 0.0000000000E+00 2.6300000000E+02 1.3150000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     5 1995 8.5354838710E+05 0.0000000000E+00 4.2677420000E+01 0.0000000000E+00 2.5606452000E+02 1.2803226000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     6 1995 1.2676666667E+06 0.0000000000E+00 6.3383330000E+01 0.0000000000E+00 3.8030000000E+02 1.9015000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     7 1995 1.4612903226E+06 0.0000000000E+00 7.3064520000E+01 0.0000000000E+00 4.3838710000E+02 2.1919355000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     8 1995 1.7241935484E+06 0.0000000000E+00 8.6209680000E+01 0.0000000000E+00 5.1725806000E+02 2.5862903000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     9 1995 1.2863333333E+06 0.0000000000E+00 6.4316670000E+01 0.0000000000E+00 3.8590000000E+02 1.9295000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    10 1995 7.9677419355E+05 0.0000000000E+00 3.9838710000E+01 0.0000000000E+00 2.3903226000E+02 1.1951613000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    11 1995 4.4266666667E+05 0.0000000000E+00 2.2133330000E+01 0.0000000000E+00 1.3280000000E+02 6.6400000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    12 1995 4.3774193548E+05 0.0000000000E+00 2.1887100000E+01 0.0000000000E+00 1.3132258000E+02 6.5661290000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     1 1996 1.5387096774E+05 0.0000000000E+00 7.6935500000E+00 0.0000000000E+00 4.6161290000E+01 2.3080650000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     2 1996 1.2724137931E+05 0.0000000000E+00 6.5892900000E+00 0.0000000000E+00 3.9535710000E+01 1.9767860000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     3 1996 4.5870967742E+05 0.0000000000E+00 2.2935480000E+01 0.0000000000E+00 1.3761290000E+02 6.8806450000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     4 1996 1.2710000000E+06 0.0000000000E+00 6.3550000000E+01 0.0000000000E+00 3.8130000000E+02 1.9065000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     5 1996 1.5225806452E+06 0.0000000000E+00 7.6129030000E+01 0.0000000000E+00 4.5677419000E+02 2.2838710000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     6 1996 1.2923333333E+06 0.0000000000E+00 6.4616670000E+01 0.0000000000E+00 3.8770000000E+02 1.9385000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     7 1996 8.4806451613E+05 0.0000000000E+00 4.2403230000E+01 0.0000000000E+00 2.5441935000E+02 1.2720968000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     8 1996 1.7638709677E+06 0.0000000000E+00 8.8193550000E+01 0.0000000000E+00 5.2916129000E+02 2.6458065000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     9 1996 1.4016666667E+06 0.0000000000E+00 7.0083330000E+01 0.0000000000E+00 4.2050000000E+02 2.1025000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    10 1996 7.7612903226E+05 0.0000000000E+00 3.8806450000E+01 0.0000000000E+00 2.3283871000E+02 1.1641935000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    11 1996 5.7566666667E+05 0.0000000000E+00 2.8783330000E+01 0.0000000000E+00 1.7270000000E+02 8.6350000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    12 1996 5.2838709677E+05 0.0000000000E+00 2.6419350000E+01 0.0000000000E+00 1.5851613000E+02 7.9258060000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     1 1997 2.8483870968E+05 0.0000000000E+00 1.4241940000E+01 0.0000000000E+00 8.5451610000E+01 4.2725810000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     2 1997 5.1428571429E+05 0.0000000000E+00 2.5714290000E+01 0.0000000000E+00 1.5428571000E+02 7.7142860000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     3 1997 1.0480645161E+06 0.0000000000E+00 5.2403230000E+01 0.0000000000E+00 3.1441935000E+02 1.5720968000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     4 1997 5.4933333333E+05 0.0000000000E+00 2.7466670000E+01 0.0000000000E+00 1.6480000000E+02 8.2400000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     5 1997 1.6100000000E+06 0.0000000000E+00 8.0500000000E+01 0.0000000000E+00 4.8300000000E+02 2.4150000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     6 1997 1.6896666667E+06 0.0000000000E+00 8.4483330000E+01 0.0000000000E+00 5.0690000000E+02 2.5345000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     7 1997 1.0532258065E+06 0.0000000000E+00 5.2661290000E+01 0.0000000000E+00 3.1596774000E+02 1.5798387000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     8 1997 1.0306451613E+06 0.0000000000E+00 5.1532260000E+01 0.0000000000E+00 3.0919355000E+02 1.5459677000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     9 1997 9.9900000000E+05 0.0000000000E+00 4.9950000000E+01 0.0000000000E+00 2.9970000000E+02 1.4985000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    10 1997 1.2564516129E+06 0.0000000000E+00 6.2822580000E+01 0.0000000000E+00 3.7693548000E+02 1.8846774000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    11 1997 1.1456666667E+06 0.0000000000E+00 5.7283330000E+01 0.0000000000E+00 3.4370000000E+02 1.7185000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    12 1997 5.2806451613E+05 0.0000000000E+00 2.6403230000E+01 0.0000000000E+00 1.5841935000E+02 7.9209680000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     1 1998 4.7935483871E+05 0.0000000000E+00 2.3967740000E+01 0.0000000000E+00 1.4380645000E+02 7.1903230000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     2 1998 7.7000000000E+05 0.0000000000E+00 3.7172410000E+01 0.0000000000E+00 2.2303448000E+02 1.1151724000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     3 1998 1.1125806452E+06 0.0000000000E+00 5.5629030000E+01 0.0000000000E+00 3.3377419000E+02 1.6688710000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     4 1998 1.3073333333E+06 0.0000000000E+00 6.5366670000E+01 0.0000000000E+00 3.9220000000E+02 1.9610000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     5 1998 1.2832258065E+06 0.0000000000E+00 6.4161290000E+01 0.0000000000E+00 3.8496774000E+02 1.9248387000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     6 1998 1.1740000000E+06 0.0000000000E+00 5.8700000000E+01 0.0000000000E+00 3.5220000000E+02 1.7610000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     7 1998 1.5851612903E+06 0.0000000000E+00 7.9258060000E+01 0.0000000000E+00 4.7554839000E+02 2.3777419000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     8 1998 1.4190322581E+06 0.0000000000E+00 7.0951610000E+01 0.0000000000E+00 4.2570968000E+02 2.1285484000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     9 1998 8.6633333333E+05 0.0000000000E+00 4.3316670000E+01 0.0000000000E+00 2.5990000000E+02 1.2995000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    10 1998 8.0032258065E+05 0.0000000000E+00 4.0016130000E+01 0.0000000000E+00 2.4009677000E+02 1.2004839000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    11 1998 8.1266666667E+05 0.0000000000E+00 4.0633330000E+01 0.0000000000E+00 2.4380000000E+02 1.2190000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    12 1998 9.5032258065E+05 0.0000000000E+00 4.7516130000E+01 0.0000000000E+00 2.8509677000E+02 1.4254839000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     1 1999 6.7032258065E+05 0.0000000000E+00 3.3516130000E+01 0.0000000000E+00 2.0109677000E+02 1.0054839000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     2 1999 3.7178571429E+05 0.0000000000E+00 1.8589290000E+01 0.0000000000E+00 1.1153571000E+02 5.5767860000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     3 1999 5.6645161290E+05 0.0000000000E+00 2.8322580000E+01 0.0000000000E+00 1.6993548000E+02 8.4967740000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     4 1999 7.3733333333E+05 0.0000000000E+00 3.6866670000E+01 0.0000000000E+00 2.2120000000E+02 1.1060000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     5 1999 8.5838709677E+05 0.0000000000E+00 4.2919350000E+01 0.0000000000E+00 2.5751613000E+02 1.2875806000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     6 1999 1.4446666667E+06 0.0000000000E+00 7.2233330000E+01 0.0000000000E+00 4.3340000000E+02 2.1670000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     7 1999 1.4719354839E+06 0.0000000000E+00 7.3596770000E+01 0.0000000000E+00 4.4158065000E+02 2.2079032000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     8 1999 1.3135483871E+06 0.0000000000E+00 6.5677420000E+01 0.0000000000E+00 3.9406452000E+02 1.9703226000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     9 1999 1.4000000000E+06 0.0000000000E+00 7.0000000000E+01 0.0000000000E+00 4.2000000000E+02 2.1000000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    10 1999 1.1167741936E+06 0.0000000000E+00 5.5838710000E+01 0.0000000000E+00 3.3503226000E+02 1.6751613000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    11 1999 1.0800000000E+06 0.0000000000E+00 5.4000000000E+01 0.0000000000E+00 3.2400000000E+02 1.6200000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    12 1999 6.4225806452E+05 0.0000000000E+00 3.2112900000E+01 0.0000000000E+00 1.9267742000E+02 9.6338710000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     1 2000 5.1580645161E+05 0.0000000000E+00 2.5790320000E+01 0.0000000000E+00 1.5474194000E+02 7.7370970000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
